,gcm,period_scenario,temp_ch_ipcc,region
75,gfdl-esm4,2081-2100_ssp370,7.903445011301974,RGI03_glacier
76,gfdl-esm4,2021-2040_ssp585,2.8579860688561434,RGI03_glacier
77,gfdl-esm4,2041-2060_ssp585,4.31091325347266,RGI03_glacier
78,gfdl-esm4,2061-2080_ssp585,6.469920891655408,RGI03_glacier
79,gfdl-esm4,2081-2100_ssp585,8.723392549443345,RGI03_glacier
80,gfdl-esm4,1851-1870_hist,0.396311464352162,RGI04_glacier
81,gfdl-esm4,1901-1920_hist,0.7362792605606511,RGI04_glacier
82,gfdl-esm4,1951-1970_hist,0.5415760135811399,RGI04_glacier
83,gfdl-esm4,1995-2014_hist,1.0750740791549296,RGI04_glacier
84,gfdl-esm4,2021-2040_ssp126,2.5809077418574295,RGI04_glacier
85,gfdl-esm4,2041-2060_ssp126,2.664741942830104,RGI04_glacier
86,gfdl-esm4,2061-2080_ssp126,2.9494415529930604,RGI04_glacier
87,gfdl-esm4,2081-2100_ssp126,2.7906605244161327,RGI04_glacier
88,gfdl-esm4,2021-2040_ssp370,2.1191434786468264,RGI04_glacier
89,gfdl-esm4,2041-2060_ssp370,3.3121349855469804,RGI04_glacier
90,gfdl-esm4,2061-2080_ssp370,5.048906952312364,RGI04_glacier
91,gfdl-esm4,2081-2100_ssp370,6.482482803340175,RGI04_glacier
92,gfdl-esm4,2021-2040_ssp585,2.560272210811447,RGI04_glacier
93,gfdl-esm4,2041-2060_ssp585,3.681824525210799,RGI04_glacier
94,gfdl-esm4,2061-2080_ssp585,5.4444839667723235,RGI04_glacier
95,gfdl-esm4,2081-2100_ssp585,7.19123603443699,RGI04_glacier
96,gfdl-esm4,1851-1870_hist,0.357203835099429,RGI05_glacier
97,gfdl-esm4,1901-1920_hist,0.808387632131475,RGI05_glacier
98,gfdl-esm4,1951-1970_hist,0.6181131101468927,RGI05_glacier
99,gfdl-esm4,1995-2014_hist,1.0279735861370876,RGI05_glacier
100,gfdl-esm4,2021-2040_ssp126,2.74651873147796,RGI05_glacier
101,gfdl-esm4,2041-2060_ssp126,2.8254692219068085,RGI05_glacier
102,gfdl-esm4,2061-2080_ssp126,3.189409980112498,RGI05_glacier
103,gfdl-esm4,2081-2100_ssp126,3.0630548087862755,RGI05_glacier
104,gfdl-esm4,2021-2040_ssp370,2.2431492288986616,RGI05_glacier
105,gfdl-esm4,2041-2060_ssp370,3.5595689135150215,RGI05_glacier
106,gfdl-esm4,2061-2080_ssp370,5.690813516084026,RGI05_glacier
107,gfdl-esm4,2081-2100_ssp370,7.182491004029367,RGI05_glacier
108,gfdl-esm4,2021-2040_ssp585,2.6961033287202243,RGI05_glacier
109,gfdl-esm4,2041-2060_ssp585,3.9828909971464466,RGI05_glacier
110,gfdl-esm4,2061-2080_ssp585,5.956051876467452,RGI05_glacier
111,gfdl-esm4,2081-2100_ssp585,7.970524253088825,RGI05_glacier
112,gfdl-esm4,1851-1870_hist,0.2954808235627545,RGI06_glacier
113,gfdl-esm4,1901-1920_hist,0.6501618431231596,RGI06_glacier
114,gfdl-esm4,1951-1970_hist,0.5301335814588316,RGI06_glacier
115,gfdl-esm4,1995-2014_hist,1.0160260967582753,RGI06_glacier
116,gfdl-esm4,2021-2040_ssp126,2.169969106768729,RGI06_glacier
117,gfdl-esm4,2041-2060_ssp126,2.193210158476028,RGI06_glacier
118,gfdl-esm4,2061-2080_ssp126,2.3677132034803368,RGI06_glacier
119,gfdl-esm4,2081-2100_ssp126,2.1726831575354755,RGI06_glacier
120,gfdl-esm4,2021-2040_ssp370,1.8337336042780823,RGI06_glacier
121,gfdl-esm4,2041-2060_ssp370,2.7022200564463237,RGI06_glacier
122,gfdl-esm4,2061-2080_ssp370,4.054476658785162,RGI06_glacier
123,gfdl-esm4,2081-2100_ssp370,5.241175788961702,RGI06_glacier
124,gfdl-esm4,2021-2040_ssp585,2.153457635918553,RGI06_glacier
125,gfdl-esm4,2041-2060_ssp585,2.959681927991112,RGI06_glacier
126,gfdl-esm4,2061-2080_ssp585,4.4403751096217885,RGI06_glacier
127,gfdl-esm4,2081-2100_ssp585,5.883923335479297,RGI06_glacier
128,gfdl-esm4,1851-1870_hist,0.4181671346063044,RGI07_glacier
129,gfdl-esm4,1901-1920_hist,0.9130034880556056,RGI07_glacier
130,gfdl-esm4,1951-1970_hist,0.7438330619459094,RGI07_glacier
131,gfdl-esm4,1995-2014_hist,1.0105671377059755,RGI07_glacier
132,gfdl-esm4,2021-2040_ssp126,2.9455122699808234,RGI07_glacier
133,gfdl-esm4,2041-2060_ssp126,2.9805440906585394,RGI07_glacier
134,gfdl-esm4,2061-2080_ssp126,3.4127328601897196,RGI07_glacier
135,gfdl-esm4,2081-2100_ssp126,3.3091804329659427,RGI07_glacier
136,gfdl-esm4,2021-2040_ssp370,2.378338263473693,RGI07_glacier
137,gfdl-esm4,2041-2060_ssp370,3.7874975290735664,RGI07_glacier
138,gfdl-esm4,2061-2080_ssp370,6.200118824863599,RGI07_glacier
139,gfdl-esm4,2081-2100_ssp370,7.858179370167874,RGI07_glacier
140,gfdl-esm4,2021-2040_ssp585,2.8369736559735594,RGI07_glacier
141,gfdl-esm4,2041-2060_ssp585,4.263249080856892,RGI07_glacier
142,gfdl-esm4,2061-2080_ssp585,6.395008221836184,RGI07_glacier
143,gfdl-esm4,2081-2100_ssp585,8.634676076047786,RGI07_glacier
144,gfdl-esm4,1851-1870_hist,0.36034146609815576,RGI08_glacier
145,gfdl-esm4,1901-1920_hist,0.6655189366776987,RGI08_glacier
146,gfdl-esm4,1951-1970_hist,0.5293679338637177,RGI08_glacier
147,gfdl-esm4,1995-2014_hist,1.0174029233997164,RGI08_glacier
148,gfdl-esm4,2021-2040_ssp126,2.2055526312202223,RGI08_glacier
149,gfdl-esm4,2041-2060_ssp126,2.2654991931715434,RGI08_glacier
150,gfdl-esm4,2061-2080_ssp126,2.4380653218820205,RGI08_glacier
151,gfdl-esm4,2081-2100_ssp126,2.2458760011177636,RGI08_glacier
152,gfdl-esm4,2021-2040_ssp370,1.8582946596016359,RGI08_glacier
153,gfdl-esm4,2041-2060_ssp370,2.764823556425684,RGI08_glacier
154,gfdl-esm4,2061-2080_ssp370,4.13165997180051,RGI08_glacier
155,gfdl-esm4,2081-2100_ssp370,5.312628760928156,RGI08_glacier
156,gfdl-esm4,2021-2040_ssp585,2.196104526261836,RGI08_glacier
157,gfdl-esm4,2041-2060_ssp585,3.021281935646097,RGI08_glacier
158,gfdl-esm4,2061-2080_ssp585,4.502925539124449,RGI08_glacier
159,gfdl-esm4,2081-2100_ssp585,5.939333065079122,RGI08_glacier
160,gfdl-esm4,1851-1870_hist,0.41598770225094406,RGI09_glacier
161,gfdl-esm4,1901-1920_hist,0.9050850916859466,RGI09_glacier
162,gfdl-esm4,1951-1970_hist,0.7260492315338737,RGI09_glacier
163,gfdl-esm4,1995-2014_hist,1.0111716856418402,RGI09_glacier
164,gfdl-esm4,2021-2040_ssp126,2.9304119759470337,RGI09_glacier
165,gfdl-esm4,2041-2060_ssp126,2.986224162236609,RGI09_glacier
166,gfdl-esm4,2061-2080_ssp126,3.4286688782333163,RGI09_glacier
167,gfdl-esm4,2081-2100_ssp126,3.3069424673391365,RGI09_glacier
168,gfdl-esm4,2021-2040_ssp370,2.3818976159443634,RGI09_glacier
169,gfdl-esm4,2041-2060_ssp370,3.7885975647314565,RGI09_glacier
170,gfdl-esm4,2061-2080_ssp370,6.159205742759867,RGI09_glacier
171,gfdl-esm4,2081-2100_ssp370,7.788251735368375,RGI09_glacier
172,gfdl-esm4,2021-2040_ssp585,2.8463029739695527,RGI09_glacier
173,gfdl-esm4,2041-2060_ssp585,4.273605237449668,RGI09_glacier
174,gfdl-esm4,2061-2080_ssp585,6.396321223443759,RGI09_glacier
175,gfdl-esm4,2081-2100_ssp585,8.5884262516385,RGI09_glacier
176,gfdl-esm4,1851-1870_hist,0.590645303272031,RGI10_glacier
177,gfdl-esm4,1901-1920_hist,0.7558580966335445,RGI10_glacier
178,gfdl-esm4,1951-1970_hist,0.5690167362384518,RGI10_glacier
179,gfdl-esm4,1995-2014_hist,0.9780373540387407,RGI10_glacier
180,gfdl-esm4,2021-2040_ssp126,1.995125164225199,RGI10_glacier
181,gfdl-esm4,2041-2060_ssp126,2.144562561426601,RGI10_glacier
182,gfdl-esm4,2061-2080_ssp126,2.2771134917477114,RGI10_glacier
183,gfdl-esm4,2081-2100_ssp126,2.1118453025425215,RGI10_glacier
184,gfdl-esm4,2021-2040_ssp370,1.7246372377713972,RGI10_glacier
185,gfdl-esm4,2041-2060_ssp370,2.4844396435085843,RGI10_glacier
186,gfdl-esm4,2061-2080_ssp370,3.502701282498593,RGI10_glacier
187,gfdl-esm4,2081-2100_ssp370,4.438398543149988,RGI10_glacier
188,gfdl-esm4,2021-2040_ssp585,1.929116828706059,RGI10_glacier
189,gfdl-esm4,2041-2060_ssp585,2.725881354992477,RGI10_glacier
190,gfdl-esm4,2061-2080_ssp585,3.8947470153005797,RGI10_glacier
191,gfdl-esm4,2081-2100_ssp585,5.0918549673279285,RGI10_glacier
192,gfdl-esm4,1851-1870_hist,0.7573030159656967,RGI11_glacier
193,gfdl-esm4,1901-1920_hist,0.8330598427872032,RGI11_glacier
194,gfdl-esm4,1951-1970_hist,0.5804000846387779,RGI11_glacier
195,gfdl-esm4,1995-2014_hist,0.9444984137880869,RGI11_glacier
196,gfdl-esm4,2021-2040_ssp126,1.8567976061530693,RGI11_glacier
197,gfdl-esm4,2041-2060_ssp126,2.081584747377404,RGI11_glacier
198,gfdl-esm4,2061-2080_ssp126,2.2194690357497233,RGI11_glacier
199,gfdl-esm4,2081-2100_ssp126,2.030422957943909,RGI11_glacier
200,gfdl-esm4,2021-2040_ssp370,1.6328737202544765,RGI11_glacier
201,gfdl-esm4,2041-2060_ssp370,2.376749690417949,RGI11_glacier
202,gfdl-esm4,2061-2080_ssp370,3.1809340649769062,RGI11_glacier
203,gfdl-esm4,2081-2100_ssp370,3.9320819513985033,RGI11_glacier
204,gfdl-esm4,2021-2040_ssp585,1.7262249678936268,RGI11_glacier
205,gfdl-esm4,2041-2060_ssp585,2.567726032163476,RGI11_glacier
206,gfdl-esm4,2061-2080_ssp585,3.520947666127709,RGI11_glacier
207,gfdl-esm4,2081-2100_ssp585,4.608478498162295,RGI11_glacier
208,gfdl-esm4,1851-1870_hist,0.7800540896480036,RGI12_glacier
209,gfdl-esm4,1901-1920_hist,0.8522263297596445,RGI12_glacier
210,gfdl-esm4,1951-1970_hist,0.6321719981181345,RGI12_glacier
211,gfdl-esm4,1995-2014_hist,0.9441923899574035,RGI12_glacier
212,gfdl-esm4,2021-2040_ssp126,1.8126074611357188,RGI12_glacier
213,gfdl-esm4,2041-2060_ssp126,2.0275589110004875,RGI12_glacier
214,gfdl-esm4,2061-2080_ssp126,2.23338103411714,RGI12_glacier
215,gfdl-esm4,2081-2100_ssp126,2.00726017299941,RGI12_glacier
216,gfdl-esm4,2021-2040_ssp370,1.613928377843389,RGI12_glacier
217,gfdl-esm4,2041-2060_ssp370,2.3934943186917748,RGI12_glacier
218,gfdl-esm4,2061-2080_ssp370,3.2120676050544725,RGI12_glacier
219,gfdl-esm4,2081-2100_ssp370,3.869253306878888,RGI12_glacier
220,gfdl-esm4,2021-2040_ssp585,1.6800905895661478,RGI12_glacier
221,gfdl-esm4,2041-2060_ssp585,2.562085366324779,RGI12_glacier
222,gfdl-esm4,2061-2080_ssp585,3.4405424590537175,RGI12_glacier
223,gfdl-esm4,2081-2100_ssp585,4.470323689391729,RGI12_glacier
224,gfdl-esm4,1851-1870_hist,0.6126173135503957,RGI13_glacier
225,gfdl-esm4,1901-1920_hist,0.6708559260307371,RGI13_glacier
226,gfdl-esm4,1951-1970_hist,0.5478573446656841,RGI13_glacier
227,gfdl-esm4,1995-2014_hist,0.9078143064180778,RGI13_glacier
228,gfdl-esm4,2021-2040_ssp126,1.6753152032864564,RGI13_glacier
229,gfdl-esm4,2041-2060_ssp126,1.8948650670955454,RGI13_glacier
230,gfdl-esm4,2061-2080_ssp126,2.063721545980255,RGI13_glacier
231,gfdl-esm4,2081-2100_ssp126,1.8999182662586742,RGI13_glacier
232,gfdl-esm4,2021-2040_ssp370,1.5789033396416245,RGI13_glacier
233,gfdl-esm4,2041-2060_ssp370,2.2734190158061027,RGI13_glacier
234,gfdl-esm4,2061-2080_ssp370,3.0917365709764946,RGI13_glacier
235,gfdl-esm4,2081-2100_ssp370,3.7358816289860863,RGI13_glacier
236,gfdl-esm4,2021-2040_ssp585,1.6474615196281404,RGI13_glacier
237,gfdl-esm4,2041-2060_ssp585,2.4881981193575173,RGI13_glacier
238,gfdl-esm4,2061-2080_ssp585,3.2918082779564637,RGI13_glacier
239,gfdl-esm4,2081-2100_ssp585,4.287745670379963,RGI13_glacier
240,gfdl-esm4,1851-1870_hist,0.5697227461316451,RGI14_glacier
241,gfdl-esm4,1901-1920_hist,0.6161408996409047,RGI14_glacier
242,gfdl-esm4,1951-1970_hist,0.5169253821199301,RGI14_glacier
243,gfdl-esm4,1995-2014_hist,0.893866345037945,RGI14_glacier
244,gfdl-esm4,2021-2040_ssp126,1.6205220828450324,RGI14_glacier
245,gfdl-esm4,2041-2060_ssp126,1.8452068726261688,RGI14_glacier
246,gfdl-esm4,2061-2080_ssp126,1.9861417403657038,RGI14_glacier
247,gfdl-esm4,2081-2100_ssp126,1.859885487230323,RGI14_glacier
